,unix_time,asset_balance,account_balance
0,1599523200.0,0.0,10000000.0
1,1599609600.0,0.0,10000000.0
2,1599696000.0,0.0,10000000.0
3,1599782400.0,0.0,10000000.0
4,1599868800.0,0.0,10000000.0
5,1599955200.0,0.0,10000000.0
6,1600041600.0,0.0,10000000.0
7,1600128000.0,0.0,10000000.0
8,1600214400.0,0.0,10000000.0
9,1600300800.0,0.0,10000000.0
10,1600387200.0,0.0,10000000.0
11,1600473600.0,0.0,10000000.0
12,1600560000.0,0.0,10000000.0
13,1600646400.0,0.0,10000000.0
14,1600732800.0,0.0,10000000.0
15,1600819200.0,0.0,10000000.0
16,1600905600.0,0.0,10000000.0
17,1600992000.0,0.0,10000000.0
18,1601078400.0,0.0,10000000.0
19,1601164800.0,0.0,10000000.0
20,1601251200.0,0.0,10000000.0
21,1601337600.0,0.0,10000000.0
22,1601424000.0,0.0,10000000.0
23,1601510400.0,0.0,10000000.0
24,1601596800.0,0.0,10000000.0
25,1601683200.0,0.0,10000000.0
26,1601769600.0,0.0,10000000.0
27,1601856000.0,0.0,10000000.0
28,1601942400.0,0.0,10000000.0
29,1602028800.0,0.0,10000000.0
30,1602115200.0,0.0,10000000.0
31,1602201600.0,0.0,10000000.0
32,1602288000.0,0.0,10000000.0
33,1602374400.0,2.0,9988650.54
34,1602460800.0,3.0,9977211.0
35,1602547200.0,4.0,9965785.74
36,1602633600.0,5.0,9954377.16
37,1602720000.0,6.0,9942949.24
38,1602806400.0,7.0,9931588.24
39,1602892800.0,8.0,9920262.65
40,1602979200.0,6.0,9931683.21
41,1603065600.0,8.0,9920067.98
42,1603152000.0,9.0,9908214.25
43,1603238400.0,10.0,9895654.4
44,1603324800.0,11.0,9882715.31
45,1603411200.0,12.0,9869845.37
46,1603497600.0,13.0,9856828.56
47,1603584000.0,14.0,9843714.27
48,1603670400.0,15.0,9830714.54
49,1603756800.0,16.0,9817300.92
50,1603843200.0,17.0,9803936.19
51,1603929600.0,18.0,9790637.5
52,1604016000.0,19.0,9777252.86
53,1604102400.0,20.0,9763505.75
54,1604188800.0,21.0,9749752.82
55,1604275200.0,22.0,9736242.36
56,1604361600.0,23.0,9722572.37
57,1604448000.0,24.0,9708679.07
58,1604534400.0,25.0,9693749.5
59,1604620800.0,26.0,9678178.66
60,1604707200.0,27.0,9663133.78
61,1604793600.0,28.0,9647953.9
62,1604880000.0,29.0,9632633.31
63,1604966400.0,30.0,9617367.59
64,1605052800.0,31.0,9601738.24
65,1605139200.0,32.0,9585844.11
66,1605225600.0,33.0,9569631.52
67,1605312000.0,34.0,9553617.97
68,1605398400.0,35.0,9537653.42
69,1605484800.0,36.0,9521284.8
70,1605571200.0,37.0,9504081.26
71,1605657600.0,38.0,9486231.39
72,1605744000.0,39.0,9468476.79
73,1605830400.0,40.0,9450191.38
74,1605916800.0,41.0,9431548.46
75,1606003200.0,42.0,9413368.19
76,1606089600.0,43.0,9394993.98
77,1606176000.0,44.0,9376285.68
78,1606262400.0,45.0,9357329.29
79,1606348800.0,46.0,9339792.4
80,1606435200.0,47.0,9322854.76
81,1606521600.0,45.0,9340222.51
82,1606608000.0,44.0,9358151.66
83,1606694400.0,43.0,9377171.15
84,1606780800.0,45.0,9358203.71
85,1606867200.0,46.0,9339380.55
86,1606953600.0,47.0,9320147.55
87,1607040000.0,48.0,9301116.24
88,1607126400.0,49.0,9282285.07
89,1607212800.0,47.0,9301416.25
90,1607299200.0,46.0,9320567.98
91,1607385600.0,48.0,9301842.43
92,1607472000.0,46.0,9319963.799999999
93,1607558400.0,45.0,9338174.809999999
94,1607644800.0,44.0,9356085.469999999
95,1607731200.0,43.0,9374552.809999999
96,1607817600.0,42.0,9393603.459999999
97,1607904000.0,41.0,9412757.659999998
98,1607990400.0,40.0,9432040.829999998
99,1608076800.0,39.0,9452451.319999998
100,1608163200.0,41.0,9429945.94
101,1608249600.0,42.0,9407149.18
102,1608336000.0,43.0,9383703.49
103,1608422400.0,44.0,9360028.07
104,1608508800.0,45.0,9337052.14
105,1608595200.0,46.0,9313974.47
106,1608681600.0,47.0,9290647.82
107,1608768000.0,48.0,9267423.81
108,1608854400.0,49.0,9243342.56
109,1608940800.0,50.0,9217704.99
110,1609027200.0,51.0,9190660.34
111,1609113600.0,52.0,9163917.11
112,1609200000.0,53.0,9137338.95
113,1609286400.0,54.0,9109210.15
114,1609372800.0,55.0,9080626.05
115,1609459200.0,56.0,9051472.89
116,1609545600.0,57.0,9020325.82
117,1609632000.0,58.0,8986966.21
118,1609718400.0,59.0,8956126.96
119,1609804800.0,60.0,8923956.24
120,1609891200.0,61.0,8888796.35
121,1609977600.0,62.0,8850457.6
122,1610064000.0,63.0,8811202.79
123,1610150400.0,64.0,8771145.72
124,1610236800.0,65.0,8732913.93
125,1610323200.0,66.0,8698648.69
126,1610409600.0,67.0,8664104.72
127,1610496000.0,68.0,8629064.8
128,1610582400.0,66.0,8667431.4
129,1610668800.0,68.0,8630445.35
130,1610755200.0,69.0,8593820.6
131,1610841600.0,67.0,8629128.16
132,1610928000.0,66.0,8665204.66
133,1611014400.0,65.0,8702045.7
134,1611100800.0,64.0,8736923.309999999
135,1611187200.0,63.0,8769720.629999999
136,1611273600.0,62.0,8801019.389999999
137,1611360000.0,61.0,8833438.389999999
138,1611446400.0,60.0,8865429.909999998
139,1611532800.0,59.0,8898798.269999998
140,1611619200.0,58.0,8930648.149999999
141,1611705600.0,57.0,8961530.429999998
142,1611792000.0,56.0,8993368.559999999
143,1611878400.0,55.0,9028644.469999999
144,1612051200.0,54.0,9061896.37
145,1612137600.0,53.0,9095384.049999999
146,1612224000.0,52.0,9130074.219999999
147,1612310400.0,51.0,9166595.079999998
148,1612396800.0,50.0,9204034.889999999
149,1612483200.0,52.0,9166586.1
150,1612569600.0,53.0,9126999.2
151,1612656000.0,54.0,9088488.28
152,1612742400.0,55.0,9046103.85
153,1612828800.0,56.0,8999539.46
154,1612915200.0,57.0,8954029.75
155,1613001600.0,58.0,8907711.93
156,1613088000.0,59.0,8860137.8
157,1613174400.0,60.0,8812958.53
158,1613260800.0,61.0,8764597.34
159,1613347200.0,62.0,8717237.16
160,1613433600.0,63.0,8668416.34
161,1613520000.0,64.0,8617668.79
162,1613606400.0,65.0,8566011.35
163,1613692800.0,66.0,8512505.01
164,1613779200.0,67.0,8456787.75
165,1613865600.0,68.0,8399905.15
166,1613952000.0,69.0,8347339.21
167,1614038400.0,70.0,8297846.58
168,1614124800.0,71.0,8248701.33
169,1614211200.0,69.0,8298021.96
170,1614297600.0,68.0,8344255.89
171,1614384000.0,67.0,8390905.0
172,1614470400.0,66.0,8435697.46
173,1614556800.0,65.0,8483085.83
174,1614643200.0,64.0,8531689.18
175,1614729600.0,63.0,8582043.5
176,1614816000.0,62.0,8631635.72
177,1614902400.0,61.0,8679472.14
178,1614988800.0,60.0,8727555.25
179,1615075200.0,59.0,8777687.63
180,1615161600.0,58.0,8828498.56
181,1615248000.0,57.0,8881817.63
182,1615334400.0,59.0,8826667.22
183,1615420800.0,60.0,8770503.44
184,1615507200.0,61.0,8714009.99
185,1615593600.0,62.0,8655123.64
186,1615680000.0,63.0,8594843.48
187,1615766400.0,64.0,8537285.97
188,1615852800.0,65.0,8482243.36
189,1615939200.0,63.0,8538748.799999999
190,1616025600.0,62.0,8597258.11
191,1616112000.0,64.0,8539448.8
192,1616198400.0,62.0,8598254.780000001
193,1616284800.0,64.0,8541311.4
194,1616371200.0,65.0,8485308.46
195,1616457600.0,63.0,8539673.370000001
196,1616544000.0,62.0,8594063.430000002
197,1616630400.0,61.0,8645837.820000002
198,1616716800.0,60.0,8698958.670000002
199,1616803200.0,59.0,8754213.500000002
200,1616889600.0,58.0,8809776.590000002
201,1616976000.0,57.0,8866365.990000002
202,1617062400.0,56.0,8924507.670000002
203,1617148800.0,55.0,8982798.540000001
204,1617235200.0,57.0,8924150.26
205,1617321600.0,58.0,8864920.12
206,1617408000.0,59.0,8806657.4
207,1617494400.0,60.0,8749248.36
208,1617580800.0,58.0,8807223.08
209,1617667200.0,57.0,8865614.13
210,1617753600.0,59.0,8808645.7
211,1617840000.0,57.0,8865500.08
212,1617926400.0,56.0,8923716.27
213,1618012800.0,55.0,8983230.809999999
214,1618099200.0,54.0,9043068.819999998
215,1618185600.0,56.0,8982759.16
216,1618272000.0,57.0,8921052.01
217,1618358400.0,55.0,8984086.16
218,1618444800.0,57.0,8921213.99
219,1618531200.0,58.0,8859461.41
220,1618617600.0,59.0,8798408.62
221,1618704000.0,57.0,8854400.75
222,1618790400.0,56.0,8910282.93
223,1618876800.0,55.0,8965474.18
224,1618963200.0,54.0,9020644.77
225,1619049600.0,53.0,9073573.92
226,1619136000.0,52.0,9123340.07
227,1619222400.0,51.0,9173250.33
228,1619308800.0,50.0,9222007.02
229,1619395200.0,49.0,9273564.809999999
230,1619481600.0,48.0,9327908.139999999
231,1619568000.0,47.0,9383045.639999999
232,1619654400.0,46.0,9436785.729999999
233,1619740800.0,45.0,9492264.7
234,1619827200.0,44.0,9550002.79
235,1619913600.0,43.0,9606962.819999998
236,1620000000.0,42.0,9664666.259999998
237,1620086400.0,41.0,9719781.109999998
238,1620172800.0,40.0,9775191.439999998
239,1620259200.0,39.0,9831995.979999997
240,1620345600.0,38.0,9888953.229999997
241,1620432000.0,37.0,9947160.669999996
242,1620518400.0,36.0,10004889.719999997
243,1620604800.0,35.0,10061373.559999997
244,1620691200.0,34.0,10117032.439999998
245,1620777600.0,33.0,10170323.999999998
246,1620864000.0,32.0,10219089.289999997
247,1620950400.0,31.0,10269260.939999998
248,1621036800.0,30.0,10317855.209999997
249,1621123200.0,29.0,10364638.289999997
250,1621209600.0,28.0,10408972.409999996
251,1621296000.0,27.0,10452976.609999996
252,1621382400.0,26.0,10489740.929999996
253,1621468800.0,25.0,10528429.229999997
254,1621555200.0,24.0,10566283.319999997
255,1621641600.0,23.0,10603312.159999996
256,1621728000.0,22.0,10637992.949999996
257,1621814400.0,21.0,10675160.539999995
258,1621900800.0,20.0,10713280.359999996
259,1621987200.0,19.0,10752612.489999996
260,1622073600.0,18.0,10791387.929999996
261,1622160000.0,17.0,10828152.259999996
262,1622246400.0,16.0,10863617.259999996
263,1622332800.0,15.0,10898535.969999997
264,1622419200.0,14.0,10934342.079999996
265,1622505600.0,13.0,10971106.489999996
266,1622592000.0,12.0,11008141.799999997
267,1622678400.0,11.0,11046425.209999997
268,1622764800.0,10.0,11083819.869999997
269,1622851200.0,9.0,11120157.689999998
270,1622937600.0,8.0,11155974.729999997
271,1623024000.0,7.0,11191001.119999997
272,1623110400.0,6.0,11223536.369999997
273,1623196800.0,5.0,11258497.719999997
274,1623283200.0,4.0,11295591.339999996
275,1623369600.0,3.0,11332378.859999996
276,1623456000.0,2.0,11368387.539999995
277,1623542400.0,1.0,11405437.949999996
278,1623628800.0,0.0,11445318.029999996
279,1623715200.0,0.0,11445318.029999996
280,1623801600.0,0.0,11445318.029999996
281,1623888000.0,0.0,11445318.029999996
282,1623974400.0,0.0,11445318.029999996
283,1624060800.0,0.0,11445318.029999996
284,1624147200.0,0.0,11445318.029999996
285,1624233600.0,0.0,11445318.029999996
286,1624320000.0,0.0,11445318.029999996
287,1624406400.0,0.0,11445318.029999996
288,1624492800.0,0.0,11445318.029999996
289,1624579200.0,0.0,11445318.029999996
290,1624665600.0,0.0,11445318.029999996
291,1624752000.0,0.0,11445318.029999996
292,1624838400.0,0.0,11445318.029999996
293,1624924800.0,0.0,11445318.029999996
294,1625011200.0,0.0,11445318.029999996
295,1625097600.0,0.0,11445318.029999996
296,1625184000.0,0.0,11445318.029999996
297,1625270400.0,0.0,11445318.029999996
298,1625356800.0,0.0,11445318.029999996
299,1625443200.0,0.0,11445318.029999996
300,1625529600.0,0.0,11445318.029999996
301,1625616000.0,0.0,11445318.029999996
302,1625702400.0,0.0,11445318.029999996
303,1625788800.0,0.0,11445318.029999996
304,1625875200.0,0.0,11445318.029999996
305,1625961600.0,0.0,11445318.029999996
306,1626048000.0,0.0,11445318.029999996
307,1626134400.0,0.0,11445318.029999996
308,1626220800.0,0.0,11445318.029999996
309,1626307200.0,0.0,11445318.029999996
310,1626393600.0,0.0,11445318.029999996
311,1626480000.0,0.0,11445318.029999996
312,1626566400.0,0.0,11445318.029999996
313,1626652800.0,0.0,11445318.029999996
314,1626739200.0,0.0,11445318.029999996
315,1626825600.0,0.0,11445318.029999996
316,1626912000.0,0.0,11445318.029999996
317,1626998400.0,0.0,11445318.029999996
318,1627084800.0,0.0,11445318.029999996
319,1627171200.0,0.0,11445318.029999996
320,1627257600.0,0.0,11445318.029999996
321,1627344000.0,2.0,11407383.25
322,1627430400.0,3.0,11367564.69
323,1627516800.0,4.0,11327658.81
324,1627603200.0,5.0,11287367.94
325,1627689600.0,6.0,11245667.04
326,1627776000.0,7.0,11204694.38
327,1627862400.0,8.0,11165159.82
328,1627948800.0,9.0,11126488.64
329,1628035200.0,10.0,11087796.87
330,1628121600.0,8.0,11127103.02
331,1628208000.0,10.0,11085544.62
332,1628294400.0,11.0,11042006.43
333,1628380800.0,12.0,10997734.06
334,1628467200.0,13.0,10953132.71
335,1628553600.0,14.0,10907494.57
336,1628640000.0,15.0,10861469.09
337,1628726400.0,16.0,10816505.8
338,1628812800.0,17.0,10770487.84
339,1628899200.0,18.0,10723416.76
340,1628985600.0,19.0,10676994.05
341,1629072000.0,20.0,10630166.98
342,1629158400.0,21.0,10584426.18
343,1629244800.0,22.0,10539355.37
344,1629331200.0,20.0,10584801.11
345,1629417600.0,19.0,10632772.95
346,1629504000.0,21.0,10583787.68
347,1629590400.0,22.0,10535026.23
348,1629676800.0,23.0,10485282.37
349,1629763200.0,24.0,10436590.6
350,1629849600.0,25.0,10388443.21
351,1629936000.0,23.0,10436221.15
352,1630022400.0,25.0,10388507.97
353,1630108800.0,23.0,10437301.83
354,1630195200.0,25.0,10388617.39
355,1630281600.0,23.0,10436459.31
356,1630368000.0,22.0,10483899.15
357,1630454400.0,21.0,10531682.74
358,1630540800.0,20.0,10581136.07
359,1630627200.0,19.0,10630787.73
360,1630713600.0,18.0,10680714.06
361,1630800000.0,20.0,10630065.82
362,1630886400.0,21.0,10578204.79
363,1630972800.0,22.0,10530283.34
364,1631059200.0,23.0,10484441.59
365,1631145600.0,21.0,10530851.11
366,1631232000.0,20.0,10576398.83
367,1631318400.0,19.0,10621710.08
368,1631404800.0,18.0,10667268.26
369,1631491200.0,17.0,10712358.66
370,1631577600.0,16.0,10758278.97
371,1631664000.0,15.0,10805815.39
372,1631750400.0,14.0,10853537.39
373,1631836800.0,13.0,10900945.17
374,1631923200.0,12.0,10948819.39
375,1632009600.0,11.0,10996384.64
376,1632096000.0,10.0,11041263.100000001
377,1632182400.0,9.0,11082822.950000001
378,1632268800.0,8.0,11125075.98
379,1632355200.0,7.0,11169077.63
380,1632441600.0,6.0,11211966.72
381,1632528000.0,5.0,11254252.450000001
382,1632614400.0,4.0,11296578.350000001
383,1632700800.0,3.0,11339773.780000001
384,1632787200.0,2.0,11381566.89
385,1632873600.0,1.0,11423199.280000001
386,1632960000.0,0.0,11465916.88
387,1633046400.0,0.0,11465916.88
388,1633132800.0,0.0,11465916.88
389,1633219200.0,2.0,11417775.89
390,1633305600.0,3.0,11369609.46
391,1633392000.0,4.0,11319184.5
392,1633478400.0,5.0,11266136.84
393,1633564800.0,6.0,11211847.18
394,1633651200.0,7.0,11157027.05
395,1633737600.0,8.0,11102496.43
396,1633824000.0,9.0,11047210.92
397,1633910400.0,10.0,10991095.46
398,1633996800.0,11.0,10935354.79
399,1634083200.0,12.0,10879390.02
400,1634169600.0,13.0,10821767.92
401,1634256000.0,14.0,10761943.47
402,1634342400.0,15.0,10700749.45
403,1634428800.0,16.0,10640479.78
404,1634515200.0,17.0,10579276.97
405,1634601600.0,18.0,10516416.29
406,1634688000.0,19.0,10451231.54
407,1634774400.0,20.0,10386970.52
408,1634860800.0,21.0,10325193.37
409,1634947200.0,22.0,10264575.47
410,1635033600.0,20.0,10325016.47
411,1635120000.0,22.0,10262899.77
412,1635206400.0,20.0,10324405.7
413,1635292800.0,22.0,10264711.81
414,1635379200.0,20.0,10324836.64
415,1635465600.0,19.0,10386347.860000001
416,1635552000.0,18.0,10447827.200000001
417,1635638400.0,17.0,10508964.000000002
418,1635724800.0,16.0,10569893.010000002
419,1635811200.0,15.0,10632311.160000002
420,1635897600.0,14.0,10694231.820000002
421,1635984000.0,16.0,10632361.25
422,1636070400.0,14.0,10694015.07
423,1636156800.0,13.0,10754812.280000001
424,1636243200.0,12.0,10817102.090000002
425,1636329600.0,11.0,10882615.96
426,1636416000.0,10.0,10949971.89
427,1636502400.0,12.0,10884049.29
428,1636588800.0,13.0,10819242.28
429,1636675200.0,11.0,10883061.729999999
430,1636761600.0,10.0,10947182.129999999
431,1636848000.0,9.0,11011678.919999998
432,1636934400.0,8.0,11076486.199999997
433,1637020800.0,10.0,11015432.85
434,1637107200.0,8.0,11075001.74
435,1637193600.0,7.0,11133689.1
436,1637280000.0,6.0,11190630.66
437,1637366400.0,5.0,11249214.57
438,1637452800.0,4.0,11308457.370000001
439,1637539200.0,3.0,11365939.830000002
440,1637625600.0,2.0,11422481.160000002
441,1637712000.0,1.0,11479246.520000001
442,1637798400.0,0.0,11537407.100000001
443,1637884800.0,0.0,11537407.100000001
444,1637971200.0,0.0,11537407.100000001
445,1638057600.0,0.0,11537407.100000001
446,1638144000.0,0.0,11537407.100000001
447,1638230400.0,0.0,11537407.100000001
448,1638316800.0,0.0,11537407.100000001
449,1638403200.0,0.0,11537407.100000001
450,1638489600.0,0.0,11537407.100000001
451,1638576000.0,0.0,11537407.100000001
452,1638662400.0,0.0,11537407.100000001
453,1638748800.0,0.0,11537407.100000001
454,1638835200.0,0.0,11537407.100000001
455,1638921600.0,0.0,11537407.100000001
456,1639008000.0,0.0,11537407.100000001
457,1639094400.0,0.0,11537407.100000001
458,1639180800.0,0.0,11537407.100000001
459,1639267200.0,0.0,11537407.100000001
460,1639353600.0,0.0,11537407.100000001
461,1639440000.0,0.0,11537407.100000001
462,1639526400.0,0.0,11537407.100000001
463,1639612800.0,0.0,11537407.100000001
464,1639699200.0,0.0,11537407.100000001
465,1639785600.0,0.0,11537407.100000001
466,1639872000.0,0.0,11537407.100000001
467,1639958400.0,0.0,11537407.100000001
468,1640044800.0,0.0,11537407.100000001
469,1640131200.0,0.0,11537407.100000001
470,1640217600.0,0.0,11537407.100000001
471,1640304000.0,0.0,11537407.100000001
472,1640390400.0,0.0,11537407.100000001
473,1640476800.0,0.0,11537407.100000001
474,1640563200.0,0.0,11537407.100000001
475,1640649600.0,0.0,11537407.100000001
476,1640736000.0,0.0,11537407.100000001
477,1640822400.0,0.0,11537407.100000001
478,1640908800.0,0.0,11537407.100000001
479,1640995200.0,0.0,11537407.100000001
480,1641081600.0,0.0,11537407.100000001
481,1641168000.0,0.0,11537407.100000001
482,1641254400.0,0.0,11537407.100000001
483,1641340800.0,0.0,11537407.100000001
484,1641427200.0,0.0,11537407.100000001
485,1641513600.0,0.0,11537407.100000001
486,1641600000.0,0.0,11537407.100000001
487,1641686400.0,0.0,11537407.100000001
488,1641772800.0,0.0,11537407.100000001
489,1641859200.0,0.0,11537407.100000001
490,1641945600.0,0.0,11537407.100000001
491,1642032000.0,0.0,11537407.100000001
492,1642118400.0,0.0,11537407.100000001
493,1642204800.0,0.0,11537407.100000001
494,1642291200.0,0.0,11537407.100000001
495,1642377600.0,0.0,11537407.100000001
496,1642464000.0,0.0,11537407.100000001
497,1642550400.0,0.0,11537407.100000001
498,1642636800.0,0.0,11537407.100000001
499,1642723200.0,0.0,11537407.100000001
500,1642809600.0,0.0,11537407.100000001
501,1642896000.0,0.0,11537407.100000001
502,1642982400.0,0.0,11537407.100000001
503,1643068800.0,0.0,11537407.100000001
504,1643155200.0,0.0,11537407.100000001
505,1643241600.0,0.0,11537407.100000001
506,1643328000.0,0.0,11537407.100000001
507,1643414400.0,0.0,11537407.100000001
508,1643500800.0,0.0,11537407.100000001
509,1643587200.0,0.0,11537407.100000001
510,1643673600.0,0.0,11537407.100000001
511,1643760000.0,0.0,11537407.100000001
512,1643846400.0,0.0,11537407.100000001
513,1643932800.0,0.0,11537407.100000001
514,1644019200.0,0.0,11537407.100000001
515,1644105600.0,2.0,11495529.81
